Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Deputy Sheriff 1,Sheriff,Public Protection,0.0,6256.6,1715.99,7972.59
Deputy Sheriff 1,Sheriff,Public Protection,0.0,6256.6,1682.7,7939.3
Manager II,Recreation And Park Commission,Culture & Recreation,0.0,189449.27,70272.24,259721.51
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,63391.77,20072.54,83464.31
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,5299.66,410.8,5710.46
Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,0.0,1126.88,87.46,1214.34
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,5879.17,446.52,6325.69
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,27566.22,2112.73,29678.95
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2200.32,170.78,2371.1
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,255.71,19.42,275.13
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,551.34,41.87,593.21
Clerk,Registrar,General Administration & Finance,4548.57,25329.2,1939.08,27268.28
Chief Stationary Engineer,Sheriff,Public Protection,954.82,140813.03,38739.95,179552.98
Deputy Sheriff,Sheriff,Public Protection,0.0,132981.28,74519.05,207500.33
Deputy Sheriff,Sheriff,Public Protection,8932.8,147857.4,78979.43,226836.83
Deputy Sheriff,Sheriff,Public Protection,76112.88,221477.56,84352.38,305829.94
Sheriff's Sergeant,Sheriff,Public Protection,155297.17,338374.34,107017.4,445391.74
Deputy Sheriff,Sheriff,Public Protection,5848.0,141313.41,77863.17,219176.58
Deputy Sheriff (SFERS),Sheriff,Public Protection,44979.99,166373.36,26906.55,193279.91
Deputy Sheriff (SFERS),Sheriff,Public Protection,53375.87,160725.44,24059.52,184784.96
Deputy Sheriff (SFERS),Sheriff,Public Protection,57878.13,161376.36,23241.97,184618.33
Deputy Sheriff 1,Sheriff,Public Protection,0.0,10335.48,1578.08,11913.56
Communications Systems Tech,Department of Technology,General Administration & Finance,484.41,123401.15,34429.93,157831.08
IS Engineer-Journey,Department of Technology,General Administration & Finance,0.0,155552.35,41485.32,197037.67
Media Production Tech,Department of Technology,General Administration & Finance,247.35,8059.67,2319.33,10379.0
Custodian,Recreation And Park Commission,Culture & Recreation,416.04,39192.7,8912.13,48104.83
Manager I,Recreation And Park Commission,Culture & Recreation,0.0,127501.4,36326.34,163827.74
Recreation Supervisor,Recreation And Park Commission,Culture & Recreation,0.0,111025.78,31062.29,142088.07
Gardener,Recreation And Park Commission,Culture & Recreation,0.0,82429.6,23229.38,105658.98
Painter,Recreation And Park Commission,Culture & Recreation,437.81,100387.94,27931.14,128319.08
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,2177.89,165.41,2343.3
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,240.09,18.24,258.33
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2106.0,163.46,2269.46
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,1692.0,131.33,1823.33
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,91.88,6.98,98.86
Clerk,Registrar,General Administration & Finance,2388.84,13848.34,1061.35,14909.69
Clerk,Registrar,General Administration & Finance,960.3,10123.16,784.32,10907.48
Benefits Technician,Retirement Services,General Administration & Finance,0.0,61210.41,17233.17,78443.58
Deputy Sheriff,Sheriff,Public Protection,26726.05,166493.0,81543.99,248036.99
Deputy Sheriff (SFERS),Sheriff,Public Protection,24382.59,143557.4,26193.51,169750.91
Deputy Sheriff (SFERS),Sheriff,Public Protection,50601.92,189697.78,30000.56,219698.34
Media Programming Spec,Department of Technology,General Administration & Finance,3.08,94331.29,26362.23,120693.52
Custodian,Recreation And Park Commission,Culture & Recreation,0.0,10089.0,766.26,10855.26
Carpenter,Recreation And Park Commission,Culture & Recreation,2588.78,111642.16,30585.55,142227.71
Chef,Recreation And Park Commission,Culture & Recreation,0.0,73743.91,20301.28,94045.19
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,36.0,2.8,38.8
Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,0.0,1253.91,95.24,1349.15
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,288.0,21.87,309.87
Manager III,Retirement Services,General Administration & Finance,0.0,181496.42,58880.29,240376.71
Deputy Sheriff,Sheriff,Public Protection,0.0,136765.48,78520.96,215286.44
Deputy Sheriff,Sheriff,Public Protection,15705.92,159494.97,80739.7,240234.67
Deputy Sheriff,Sheriff,Public Protection,5950.98,147512.69,82655.33,230168.02
Deputy Sheriff,Sheriff,Public Protection,0.0,118918.06,66557.19,185475.25
Deputy Sheriff,Sheriff,Public Protection,16.43,126643.97,70868.8,197512.77
Senior Account Clerk,Treasurer/Tax Collector,General Administration & Finance,0.0,84400.25,23860.58,108260.83
Dep Dir III,Treasurer/Tax Collector,General Administration & Finance,0.0,63083.6,5673.26,68756.86
Park Ranger,Recreation And Park Commission,Culture & Recreation,0.0,4907.66,373.85,5281.51
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,5228.88,398.7,5627.58
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,2917.5,226.45,3143.95
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,5595.04,434.27,6029.31
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,2633.53,203.42,2836.95
Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,0.0,1262.55,97.23,1359.78
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2196.0,170.45,2366.45
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,36.0,2.8,38.8
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,1737.0,134.82,1871.82
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,725.76,55.12,780.88
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,360.0,27.34,387.34
Junior Clerk,Registrar,General Administration & Finance,3125.26,10985.26,842.22,11827.48
Junior Clerk,Registrar,General Administration & Finance,294.0,1223.75,94.98,1318.73
Managing Director,Retirement Services,General Administration & Finance,0.0,516639.85,130952.38,647592.23
Deputy Sheriff,Sheriff,Public Protection,23351.6,162798.22,82617.37,245415.59
Deputy Sheriff,Sheriff,Public Protection,1365.8,133735.34,74386.53,208121.87
Sheriff's Sergeant,Sheriff,Public Protection,46010.86,212420.63,96476.97,308897.6
Deputy Sheriff,Sheriff,Public Protection,15364.49,110460.1,55083.73,165543.83
Deputy Sheriff (SFERS),Sheriff,Public Protection,32032.4,160881.1,28259.76,189140.86
IS Trainer-Senior,Department of Technology,General Administration & Finance,0.0,48792.0,13385.07,62177.07
Management Assistant,Treasurer/Tax Collector,General Administration & Finance,650.77,92687.21,25762.31,118449.52
Gardener,Recreation And Park Commission,Culture & Recreation,4121.41,91392.5,24660.45,116052.95
Recreation Supervisor,Recreation And Park Commission,Culture & Recreation,0.0,107973.73,30272.81,138246.54
Project Manager 1,Recreation And Park Commission,Culture & Recreation,0.0,159581.04,43483.59,203064.63
Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,0.0,14407.54,1104.7,15512.24
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,2218.97,168.52,2387.49
Junior Clerk,Registrar,General Administration & Finance,360.14,877.27,66.63,943.9
Junior Clerk,Registrar,General Administration & Finance,1872.43,5176.85,479.24,5656.09
Junior Clerk,Registrar,General Administration & Finance,55.13,569.63,44.21,613.84
Assistant Retirement Analyst,Retirement Services,General Administration & Finance,1673.25,102097.95,28528.65,130626.6
IS Project Director,Retirement Services,General Administration & Finance,0.0,187589.5,49581.44,237170.94
Deputy Sheriff,Sheriff,Public Protection,17416.96,153000.85,79936.25,232937.1
Deputy Sheriff,Sheriff,Public Protection,24581.3,152954.28,74855.21,227809.49
Deputy Sheriff (SFERS),Sheriff,Public Protection,56003.75,143357.51,17178.22,160535.73
Supv Bldg Grounds Patrol Ofcr,War Memorial,Culture & Recreation,2318.77,89848.18,24271.65,114119.83
Dep Dir I,Dept Status of Women,Human Welfare & Neighborhood Development,0.0,147581.11,46477.31,194058.42
Pr Payroll & Personnel Clerk,Recreation And Park Commission,Culture & Recreation,2430.69,106785.89,29768.23,136554.12
Volunteer/Outreach Coord,Recreation And Park Commission,Culture & Recreation,0.0,94348.1,26487.64,120835.74
"BdComm Mbr, Grp5,M$100/Mo",Recreation And Park Commission,Culture & Recreation,0.0,1100.0,83.88,1183.88
Carpenter,Recreation And Park Commission,Culture & Recreation,2373.26,113204.08,30708.45,143912.53
Custodian,Recreation And Park Commission,Culture & Recreation,0.0,26587.42,2030.62,28618.04
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,22581.17,1732.85,24314.02
Gardener,Recreation And Park Commission,Culture & Recreation,6497.67,79997.7,23467.83,103465.53
Apprentice Gardener,Recreation And Park Commission,Culture & Recreation,954.68,44023.67,13561.58,57585.25
Gardener,Recreation And Park Commission,Culture & Recreation,1186.02,50350.73,13837.07,64187.8
Gardener,Recreation And Park Commission,Culture & Recreation,6139.84,56920.93,14702.0,71622.93
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,1481.73,112.54,1594.27
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,609.37,46.29,655.66
Clerk,Registrar,General Administration & Finance,0.0,106.7,8.3,115.0
Clerk,Registrar,General Administration & Finance,1061.82,13836.1,1053.82,14889.92
IS Prg Analyst-Principal,Retirement Services,General Administration & Finance,0.0,72665.87,20187.8,92853.67
Assistant Retirement Analyst,Retirement Services,General Administration & Finance,125.74,85143.44,23971.59,109115.03
Deputy Sheriff,Sheriff,Public Protection,42258.36,178038.7,79378.12,257416.82
Sheriff's Lieutenant,Sheriff,Public Protection,17685.38,196788.87,99916.14,296705.01
Deputy Sheriff,Sheriff,Public Protection,136840.5,274206.28,84210.19,358416.47
Sheriff's Cadet,Sheriff,Public Protection,2112.56,67135.48,20612.41,87747.89
IT Operations Support Admin II,Sheriff,Public Protection,0.0,91765.29,25427.56,117192.85
Bldg & Grounds Patrol Officer,War Memorial,Culture & Recreation,473.36,30891.09,8701.47,39592.56
Recreation Specialist,Recreation And Park Commission,Culture & Recreation,0.0,26441.71,8345.34,34787.05
Gardener,Recreation And Park Commission,Culture & Recreation,3342.98,85885.16,23521.69,109406.85
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,360.5,27.69,388.19
Recreation Facility Assistant,Recreation And Park Commission,Culture & Recreation,0.0,16456.71,1258.4,17715.11
Human Resources Analyst,Recreation And Park Commission,Culture & Recreation,0.0,92345.9,25974.62,118320.52
Communications Dispatcher 1,Recreation And Park Commission,Culture & Recreation,3511.99,68590.9,20866.07,89456.97
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,1447.0,109.9,1556.9
Management Assistant,Registrar,General Administration & Finance,760.25,46971.26,9482.26,56453.52
Clerk,Registrar,General Administration & Finance,920.29,5941.86,461.18,6403.04
Manager I,Retirement Services,General Administration & Finance,0.0,155364.11,53878.07,209242.18
Deputy Sheriff,Sheriff,Public Protection,22767.55,162932.55,79975.08,242907.63
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,9744.31,740.08,10484.39
Gardener,Recreation And Park Commission,Culture & Recreation,5581.79,56376.03,14663.27,71039.3
Arborist Technician,Recreation And Park Commission,Culture & Recreation,880.6,116739.1,30002.92,146742.02
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,3363.71,255.48,3619.19
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,3743.92,284.35,4028.27
Elections Clerk,Registrar,General Administration & Finance,6429.86,77181.23,20505.11,97686.34
Junior Clerk,Registrar,General Administration & Finance,294.0,686.0,53.25,739.25
Attorney (Civil/Criminal),Rent Arbitration Board,Human Welfare & Neighborhood Development,0.0,235926.59,60259.94,296186.53
Rent Board Specialist,Rent Arbitration Board,Human Welfare & Neighborhood Development,0.0,102618.55,28561.14,131179.69
Deputy Sheriff,Sheriff,Public Protection,94684.85,233236.94,82731.46,315968.4
Sheriff's Captain,Sheriff,Public Protection,9495.79,214195.57,114737.19,328932.76
Deputy Sheriff,Sheriff,Public Protection,85528.48,226016.8,85684.89,311701.69
Recreation Leader,Recreation And Park Commission,Culture & Recreation,6.59,7067.45,2239.03,9306.48
Manager I,Recreation And Park Commission,Culture & Recreation,0.0,151055.42,53509.57,204564.99
Project Manager 2,Recreation And Park Commission,Culture & Recreation,0.0,191847.83,50759.12,242606.95
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,20511.78,6388.39,26900.17
Gardener,Recreation And Park Commission,Culture & Recreation,972.3,82259.32,22965.05,105224.37
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,743.53,57.69,801.22
Gardener,Recreation And Park Commission,Culture & Recreation,9732.2,93989.27,24580.09,118569.36
Industrial Hygienist,Recreation And Park Commission,Culture & Recreation,0.0,147956.76,40984.36,188941.12
Ornamental Iron Worker,Recreation And Park Commission,Culture & Recreation,11508.68,118904.85,31109.07,150013.92
Apprentice Gardener,Recreation And Park Commission,Culture & Recreation,0.0,15739.53,4812.57,20552.1
Junior Clerk,Registrar,General Administration & Finance,360.14,944.99,71.78,1016.77
Clerk,Registrar,General Administration & Finance,2091.42,22736.68,1736.76,24473.44
Clerk,Registrar,General Administration & Finance,840.26,3127.64,242.39,3370.03
Junior Clerk,Registrar,General Administration & Finance,0.0,171.5,13.31,184.81
Sheriff's Cadet,Sheriff,Public Protection,24045.4,77462.57,18622.95,96085.52
Deputy Sheriff (SFERS),Sheriff,Public Protection,55539.94,191325.16,30270.15,221595.31
Sheriff's Cadet,Sheriff,Public Protection,34234.61,102401.61,23901.37,126302.98
General Laborer,Recreation And Park Commission,Culture & Recreation,9182.05,91516.65,23695.8,115212.45
Recreation Facility Assistant,Recreation And Park Commission,Culture & Recreation,0.0,44466.8,14026.9,58493.7
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,210.61,16.0,226.61
Senior Administrative Analyst,Recreation And Park Commission,Culture & Recreation,0.0,28177.64,2333.84,30511.48
